,record,original,predict,top5,inTop5,correct,mmr
0,4,10.0,"[[ 0.06953615  5.        ]
 [ 0.07048241  7.        ]
 [ 0.07785672  9.        ]
 [ 0.07814401 10.        ]
 [ 0.07817935 16.        ]
 [ 0.07976362 19.        ]
 [ 0.08335054 20.        ]
 [ 0.0897121  21.        ]
 [ 0.09835118 23.        ]
 [ 0.11377299 24.        ]]",[ 5.  7.  9. 10. 16.],1,1,0.25
1,8,0.0,"[[ 0.07511714  5.        ]
 [ 0.07964039  7.        ]
 [ 0.0803386   8.        ]
 [ 0.08474702  9.        ]
 [ 0.08563682 10.        ]
 [ 0.08615563 11.        ]
 [ 0.09199893 16.        ]
 [ 0.09216414 17.        ]
 [ 0.09293187 18.        ]
 [ 0.0932219  19.        ]
 [ 0.10281155 20.        ]
 [ 0.10456799 21.        ]
 [ 0.10470661 23.        ]
 [ 0.12234244 24.        ]
 [ 0.13191856 34.        ]]",[ 5.  7.  8.  9. 10.],0,0,0.0
2,9,10.0,"[[ 0.08218773  3.        ]
 [ 0.08593401  5.        ]
 [ 0.08662298  7.        ]
 [ 0.08678178  9.        ]
 [ 0.08758849 10.        ]
 [ 0.08765658 11.        ]
 [ 0.08802859 13.        ]
 [ 0.08809435 16.        ]
 [ 0.09123151 17.        ]
 [ 0.09306513 18.        ]
 [ 0.09370279 19.        ]
 [ 0.09490401 20.        ]
 [ 0.09902999 21.        ]
 [ 0.10902125 23.        ]
 [ 0.11125219 24.        ]
 [ 0.13048808 34.        ]]",[ 3.  5.  7.  9. 10.],1,1,0.2
3,11,10.0,"[[ 0.08557928  8.        ]
 [ 0.08814931  9.        ]
 [ 0.09705484 17.        ]
 [ 0.09803873 18.        ]
 [ 0.1048191  23.        ]
 [ 0.11463492 24.        ]]",[ 8.  9. 17. 18. 23.],0,0,0.0
4,16,10.0,"[[ 0.07170725  5.        ]
 [ 0.07260491  7.        ]
 [ 0.07277182  9.        ]
 [ 0.07426672 10.        ]
 [ 0.07468227 16.        ]
 [ 0.07508564 17.        ]
 [ 0.077277   18.        ]
 [ 0.08350271 19.        ]
 [ 0.08629853 21.        ]
 [ 0.08790195 23.        ]
 [ 0.0930964  24.        ]]",[ 5.  7.  9. 10. 16.],1,1,0.25
5,17,0.0,"[[ 0.0705559   5.        ]
 [ 0.07606678  7.        ]
 [ 0.07662147  9.        ]
 [ 0.08052792 10.        ]
 [ 0.08116649 14.        ]
 [ 0.08212457 16.        ]
 [ 0.08553666 17.        ]
 [ 0.09312528 19.        ]
 [ 0.09400722 20.        ]
 [ 0.0990922  21.        ]
 [ 0.0998895  23.        ]
 [ 0.10253274 24.        ]
 [ 0.1258873  34.        ]]",[ 5.  7.  9. 10. 14.],0,0,0.0
6,18,0.0,"[[ 0.06898451  3.        ]
 [ 0.08115182  5.        ]
 [ 0.08285591  7.        ]
 [ 0.08441135  9.        ]
 [ 0.08444473 10.        ]
 [ 0.08511344 11.        ]
 [ 0.08545833 16.        ]
 [ 0.085507   18.        ]
 [ 0.08720971 19.        ]
 [ 0.08857826 20.        ]
 [ 0.08865836 21.        ]
 [ 0.0905669  23.        ]
 [ 0.09791551 24.        ]
 [ 0.14254767 34.        ]]",[ 3.  5.  7.  9. 10.],0,0,0.0
7,19,10.0,"[[ 0.07662976  5.        ]
 [ 0.08540827  7.        ]
 [ 0.08609101 18.        ]
 [ 0.08775163 19.        ]
 [ 0.09658885 20.        ]
 [ 0.10017084 21.        ]
 [ 0.10019481 23.        ]
 [ 0.13825744 24.        ]]",[ 5.  7. 18. 19. 20.],0,0,0.0
8,21,10.0,"[[ 0.07454288  5.        ]
 [ 0.07873734  9.        ]
 [ 0.08092274 10.        ]
 [ 0.08233104 11.        ]
 [ 0.08236424 12.        ]
 [ 0.0834452  16.        ]
 [ 0.08520633 17.        ]
 [ 0.08570612 18.        ]
 [ 0.08938251 19.        ]
 [ 0.08974596 20.        ]
 [ 0.09215217 21.        ]
 [ 0.09266112 23.        ]
 [ 0.09395246 24.        ]
 [ 0.11904776 34.        ]]",[ 5.  9. 10. 11. 12.],1,1,0.3333333333333333
9,22,10.0,"[[ 0.06730374  9.        ]
 [ 0.07178841 10.        ]
 [ 0.07360131 19.        ]
 [ 0.0741629  21.        ]
 [ 0.08174062 23.        ]
 [ 0.08248587 24.        ]]",[ 9. 10. 19. 21. 23.],1,1,0.5
