,record,original,predict,top5,inTop5,correct,mmr
0,4,10.0,"[[2.81941891e-02 3.00000000e+00]
 [2.87821293e-02 5.00000000e+00]
 [2.94469595e-02 7.00000000e+00]
 [3.05081010e-02 8.00000000e+00]
 [3.06341648e-02 9.00000000e+00]
 [3.12665751e-02 1.00000000e+01]
 [3.42566669e-02 1.10000000e+01]
 [3.46234739e-02 1.90000000e+01]
 [3.47290834e-02 2.00000000e+01]
 [3.56266896e-02 2.10000000e+01]
 [3.93570185e-02 2.30000000e+01]
 [5.93171120e-02 2.40000000e+01]
 [1.00112021e-01 3.40000000e+01]]",[3. 5. 7. 8. 9.],0,0,0.0
1,8,0.0,"[[2.71458308e-02 3.00000000e+00]
 [2.85262465e-02 5.00000000e+00]
 [3.09712941e-02 7.00000000e+00]
 [3.13585509e-02 8.00000000e+00]
 [3.22596669e-02 9.00000000e+00]
 [3.49458845e-02 1.00000000e+01]
 [3.59309196e-02 1.10000000e+01]
 [3.68818839e-02 1.30000000e+01]
 [3.83916423e-02 1.50000000e+01]
 [3.86838100e-02 1.60000000e+01]
 [4.07789946e-02 1.80000000e+01]
 [4.15727496e-02 1.90000000e+01]
 [5.00567853e-02 2.00000000e+01]
 [6.17498159e-02 2.10000000e+01]
 [6.32411923e-02 2.30000000e+01]
 [6.67588747e-02 2.40000000e+01]
 [7.16720379e-02 2.60000000e+01]
 [1.25185737e-01 3.40000000e+01]]",[3. 5. 7. 8. 9.],0,1,0.0
2,9,10.0,"[[2.92506814e-02 3.00000000e+00]
 [3.18406423e-02 5.00000000e+00]
 [3.25467700e-02 7.00000000e+00]
 [3.29991840e-02 9.00000000e+00]
 [3.30438614e-02 1.00000000e+01]
 [3.34158540e-02 1.10000000e+01]
 [3.45847011e-02 1.30000000e+01]
 [3.49294692e-02 1.50000000e+01]
 [3.49908309e-02 1.60000000e+01]
 [3.57144773e-02 1.70000000e+01]
 [3.63139775e-02 1.80000000e+01]
 [3.70030006e-02 1.90000000e+01]
 [3.76119614e-02 2.00000000e+01]
 [3.81850692e-02 2.10000000e+01]
 [3.94510031e-02 2.30000000e+01]
 [5.45195788e-02 2.40000000e+01]
 [1.27145678e-01 3.40000000e+01]]",[ 3.  5.  7.  9. 10.],1,1,0.2
3,11,10.0,"[[3.28449011e-02 5.00000000e+00]
 [3.39255333e-02 1.80000000e+01]
 [3.40853333e-02 2.00000000e+01]
 [3.45055958e-02 2.10000000e+01]
 [4.02637621e-02 2.30000000e+01]
 [5.82929254e-02 2.40000000e+01]
 [1.29359722e-01 3.40000000e+01]]",[ 5. 18. 20. 21. 23.],0,0,0.0
4,16,10.0,"[[ 0.02764121  3.        ]
 [ 0.02792335  5.        ]
 [ 0.02942175  7.        ]
 [ 0.03033239 10.        ]
 [ 0.03088888 13.        ]
 [ 0.03127599 15.        ]
 [ 0.03191444 16.        ]
 [ 0.03297839 17.        ]
 [ 0.03357667 19.        ]
 [ 0.03369379 20.        ]
 [ 0.03394544 21.        ]
 [ 0.03397505 23.        ]
 [ 0.04226619 24.        ]]",[ 3.  5.  7. 10. 13.],1,1,0.25
5,17,0.0,"[[2.93214236e-02 3.00000000e+00]
 [3.04085761e-02 9.00000000e+00]
 [3.04566473e-02 1.00000000e+01]
 [3.10923755e-02 1.10000000e+01]
 [3.14563357e-02 1.20000000e+01]
 [3.17100286e-02 1.30000000e+01]
 [3.23576927e-02 1.60000000e+01]
 [3.24127356e-02 1.70000000e+01]
 [3.43609413e-02 1.80000000e+01]
 [3.45734112e-02 1.90000000e+01]
 [3.47814049e-02 2.00000000e+01]
 [3.48631740e-02 2.10000000e+01]
 [4.62237000e-02 2.30000000e+01]
 [4.84660566e-02 2.40000000e+01]
 [5.41077030e-02 2.60000000e+01]
 [7.25171736e-02 2.80000000e+01]
 [1.09687090e-01 3.40000000e+01]]",[ 3.  9. 10. 11. 12.],0,0,0.0
6,18,0.0,"[[ 0.03097015  3.        ]
 [ 0.03125936  5.        ]
 [ 0.0316803   7.        ]
 [ 0.03189428  9.        ]
 [ 0.03285244 10.        ]
 [ 0.03337703 13.        ]
 [ 0.03338752 16.        ]
 [ 0.03369284 17.        ]
 [ 0.0343217  18.        ]
 [ 0.03443465 19.        ]
 [ 0.03513276 20.        ]
 [ 0.03634704 21.        ]
 [ 0.03685139 23.        ]
 [ 0.04887304 24.        ]]",[ 3.  5.  7.  9. 10.],0,0,0.0
7,19,10.0,"[[ 0.03447497  3.        ]
 [ 0.0355351   7.        ]
 [ 0.03560137 11.        ]
 [ 0.03939486 13.        ]
 [ 0.04126507 19.        ]
 [ 0.06246138 20.        ]
 [ 0.0652776  23.        ]
 [ 0.1064254  24.        ]]",[ 3.  7. 11. 13. 19.],0,0,0.0
8,21,10.0,"[[ 0.03018513  3.        ]
 [ 0.03212723  5.        ]
 [ 0.03278244  7.        ]
 [ 0.03297485  9.        ]
 [ 0.03326088 10.        ]
 [ 0.03525832 11.        ]
 [ 0.03548838 12.        ]
 [ 0.03633446 13.        ]
 [ 0.03642775 16.        ]
 [ 0.03906608 17.        ]
 [ 0.04039458 18.        ]
 [ 0.04241898 19.        ]
 [ 0.04344475 20.        ]
 [ 0.04405465 21.        ]
 [ 0.04477049 23.        ]
 [ 0.04809358 24.        ]]",[ 3.  5.  7.  9. 10.],1,1,0.2
9,22,10.0,"[[ 0.02711225  7.        ]
 [ 0.02730489  9.        ]
 [ 0.02786401 18.        ]
 [ 0.02786803 19.        ]
 [ 0.02824035 21.        ]
 [ 0.02853228 23.        ]
 [ 0.03120053 24.        ]
 [ 0.04452544 26.        ]]",[ 7.  9. 18. 19. 21.],0,0,0.0
10,24,10.0,"[[ 0.03665125  3.        ]
 [ 0.03694171  5.        ]
 [ 0.0383726  16.        ]
 [ 0.03848231 17.        ]
 [ 0.03873504 19.        ]
 [ 0.03929106 21.        ]
 [ 0.04056238 23.        ]
 [ 0.05891347 24.        ]
 [ 0.12206578 34.        ]]",[ 3.  5. 16. 17. 19.],0,0,0.0
11,25,10.0,"[[3.05365324e-02 3.00000000e+00]
 [3.11144590e-02 5.00000000e+00]
 [3.22402318e-02 7.00000000e+00]
 [3.30680609e-02 9.00000000e+00]
 [3.31386526e-02 1.00000000e+01]
 [3.54764462e-02 1.10000000e+01]
 [3.55503261e-02 1.30000000e+01]
 [3.65612060e-02 1.60000000e+01]
 [3.65893543e-02 1.70000000e+01]
 [3.67204309e-02 1.80000000e+01]
 [3.73434226e-02 1.90000000e+01]
 [4.28390404e-02 2.00000000e+01]
 [4.67252030e-02 2.10000000e+01]
 [4.93165652e-02 2.30000000e+01]
 [5.42359352e-02 2.40000000e+01]
 [8.70100707e-02 3.30000000e+01]
 [1.06238246e-01 3.40000000e+01]]",[ 3.  5.  7.  9. 10.],1,1,0.2
12,26,10.0,"[[ 0.0319171   5.        ]
 [ 0.03300455  7.        ]
 [ 0.03339899  9.        ]
 [ 0.03674299 11.        ]
 [ 0.03680447 15.        ]
 [ 0.03999714 16.        ]
 [ 0.04061764 17.        ]
 [ 0.05655331 18.        ]
 [ 0.05740036 19.        ]
 [ 0.07142405 21.        ]
 [ 0.0820902  23.        ]
 [ 0.13894653 24.        ]]",[ 5.  7.  9. 11. 15.],0,0,0.0
13,27,0.0,"[[3.04191709e-02 5.00000000e+00]
 [3.08405757e-02 7.00000000e+00]
 [3.16808886e-02 1.30000000e+01]
 [3.29146534e-02 1.60000000e+01]
 [3.34678411e-02 1.70000000e+01]
 [3.38589424e-02 1.80000000e+01]
 [3.44195068e-02 1.90000000e+01]
 [3.44552398e-02 2.00000000e+01]
 [3.90307903e-02 2.10000000e+01]
 [5.57554364e-02 2.30000000e+01]
 [7.61324452e-02 2.40000000e+01]
 [1.51055217e-01 3.40000000e+01]]",[ 5.  7. 13. 16. 17.],0,1,0.0
