,record,original,predict,top5,inTop5,correct,mmr
0,4,10.0,"[[3.98574273e-03 5.00000000e+00]
 [4.03044053e-03 7.00000000e+00]
 [4.32077902e-03 8.00000000e+00]
 [4.87232208e-03 9.00000000e+00]
 [5.47236204e-03 1.00000000e+01]
 [6.04301691e-03 1.10000000e+01]
 [6.14997745e-03 1.80000000e+01]
 [6.15364313e-03 1.90000000e+01]
 [6.73507651e-03 2.10000000e+01]
 [7.15593994e-03 2.30000000e+01]
 [9.04831290e-03 2.40000000e+01]
 [2.31973529e-02 3.40000000e+01]]",[ 5.  7.  8.  9. 10.],1,1,0.2
1,8,0.0,"[[4.13518755e-03 3.00000000e+00]
 [4.45604324e-03 5.00000000e+00]
 [4.90206480e-03 7.00000000e+00]
 [5.30367238e-03 9.00000000e+00]
 [5.98841906e-03 1.00000000e+01]
 [6.19352857e-03 1.10000000e+01]
 [6.48796558e-03 1.30000000e+01]
 [6.70120933e-03 1.70000000e+01]
 [7.12396701e-03 1.80000000e+01]
 [7.30990905e-03 1.90000000e+01]
 [7.62629509e-03 2.00000000e+01]
 [8.24785233e-03 2.10000000e+01]
 [1.60678228e-02 2.30000000e+01]
 [1.84488384e-02 2.40000000e+01]
 [2.35862594e-02 3.40000000e+01]]",[ 3.  5.  7.  9. 10.],0,0,0.0
2,9,10.0,"[[5.19573689e-03 3.00000000e+00]
 [5.22104502e-03 5.00000000e+00]
 [5.60484827e-03 7.00000000e+00]
 [5.87528944e-03 9.00000000e+00]
 [5.89945912e-03 1.00000000e+01]
 [6.04985158e-03 1.10000000e+01]
 [6.09165927e-03 1.70000000e+01]
 [6.11615181e-03 1.80000000e+01]
 [6.13459769e-03 1.90000000e+01]
 [6.29732700e-03 2.10000000e+01]
 [7.02339616e-03 2.30000000e+01]
 [8.45102559e-03 2.40000000e+01]
 [1.75858736e-02 3.40000000e+01]]",[ 3.  5.  7.  9. 10.],1,1,0.2
3,11,10.0,"[[5.39880991e-03 9.00000000e+00]
 [5.40667772e-03 1.00000000e+01]
 [6.09123707e-03 1.80000000e+01]
 [6.67077303e-03 1.90000000e+01]
 [6.68334961e-03 2.10000000e+01]
 [6.72368570e-03 2.30000000e+01]
 [2.19612718e-02 2.40000000e+01]]",[ 9. 10. 18. 19. 21.],1,1,0.5
4,16,10.0,"[[4.38686212e-03 5.00000000e+00]
 [4.43072319e-03 7.00000000e+00]
 [4.54354584e-03 8.00000000e+00]
 [4.58269119e-03 9.00000000e+00]
 [4.94936109e-03 1.00000000e+01]
 [5.32579422e-03 1.80000000e+01]
 [5.70231676e-03 1.90000000e+01]
 [5.73234260e-03 2.30000000e+01]
 [6.88755512e-03 2.40000000e+01]]",[ 5.  7.  8.  9. 10.],1,1,0.2
5,17,0.0,"[[5.06711006e-03 3.00000000e+00]
 [5.20278060e-03 5.00000000e+00]
 [5.24872541e-03 7.00000000e+00]
 [5.26531935e-03 9.00000000e+00]
 [5.31077736e-03 1.00000000e+01]
 [5.48669696e-03 1.50000000e+01]
 [5.78697357e-03 1.60000000e+01]
 [5.80433011e-03 1.70000000e+01]
 [5.97059727e-03 1.80000000e+01]
 [6.22089420e-03 2.00000000e+01]
 [7.48485327e-03 2.30000000e+01]
 [8.95136595e-03 2.40000000e+01]
 [1.29508138e-02 2.60000000e+01]
 [2.13848485e-02 3.40000000e+01]]",[ 3.  5.  7.  9. 10.],0,0,0.0
6,18,0.0,"[[4.31101597e-03 3.00000000e+00]
 [4.40196615e-03 5.00000000e+00]
 [4.75745052e-03 7.00000000e+00]
 [5.33670187e-03 9.00000000e+00]
 [5.59905597e-03 1.00000000e+01]
 [5.86108863e-03 1.10000000e+01]
 [6.25443459e-03 1.70000000e+01]
 [6.26726792e-03 1.80000000e+01]
 [6.83888636e-03 1.90000000e+01]
 [6.91888849e-03 2.10000000e+01]
 [6.94500655e-03 2.30000000e+01]
 [8.00651312e-03 2.40000000e+01]
 [2.30679512e-02 3.40000000e+01]]",[ 3.  5.  7.  9. 10.],0,0,0.0
7,19,10.0,"[[4.99004126e-03 3.00000000e+00]
 [5.05491098e-03 7.00000000e+00]
 [5.24067879e-03 9.00000000e+00]
 [6.01607561e-03 1.60000000e+01]
 [6.10526403e-03 1.80000000e+01]
 [6.69560830e-03 1.90000000e+01]
 [1.27406567e-02 2.30000000e+01]
 [1.34140253e-02 2.40000000e+01]]",[ 3.  7.  9. 16. 18.],0,0,0.0
8,21,10.0,"[[4.84014302e-03 3.00000000e+00]
 [4.96572256e-03 5.00000000e+00]
 [5.17496135e-03 7.00000000e+00]
 [5.59112004e-03 8.00000000e+00]
 [5.62538207e-03 9.00000000e+00]
 [5.84378093e-03 1.00000000e+01]
 [5.90935681e-03 1.10000000e+01]
 [6.00135326e-03 1.20000000e+01]
 [6.20738130e-03 1.60000000e+01]
 [6.89110756e-03 1.70000000e+01]
 [6.99962561e-03 1.80000000e+01]
 [7.31856624e-03 1.90000000e+01]
 [7.63517618e-03 2.10000000e+01]
 [8.80498395e-03 2.30000000e+01]
 [1.08492970e-02 2.40000000e+01]
 [1.14492849e-02 3.30000000e+01]
 [2.25022435e-02 3.40000000e+01]]",[3. 5. 7. 8. 9.],0,0,0.0
9,22,10.0,"[[3.27679515e-03 9.00000000e+00]
 [3.52942944e-03 1.00000000e+01]
 [3.85767221e-03 1.10000000e+01]
 [4.64838081e-03 2.10000000e+01]
 [6.07272983e-03 2.30000000e+01]]",[ 9. 10. 11. 21. 23.],1,1,0.5
