,record,original,predict,top5,inTop5,correct,mmr
0,0,0.0,"[[ 0.11571482  5.        ]
 [ 0.11867819  7.        ]
 [ 0.12357488  8.        ]
 [ 0.12740961  9.        ]
 [ 0.12844157 10.        ]
 [ 0.12889683 11.        ]
 [ 0.13230746 12.        ]
 [ 0.13907578 13.        ]
 [ 0.14723176 15.        ]
 [ 0.14727092 16.        ]
 [ 0.1504001  17.        ]
 [ 0.15136951 18.        ]
 [ 0.15287197 19.        ]
 [ 0.15916678 20.        ]
 [ 0.15990099 23.        ]
 [ 0.16081001 24.        ]
 [ 0.16167796 28.        ]
 [ 0.17482552 33.        ]
 [ 0.20618361 34.        ]]",[ 5.  7.  8.  9. 10.],0,0,0.0
1,1,0.0,"[[ 0.13310403 14.        ]
 [ 0.13351822 16.        ]
 [ 0.14285797 17.        ]
 [ 0.15319073 20.        ]
 [ 0.15559971 21.        ]
 [ 0.21534264 23.        ]
 [ 0.2437578  33.        ]]",[14. 16. 17. 20. 21.],0,1,0.0
2,2,0.0,"[[ 0.09932202 11.        ]
 [ 0.11368254 12.        ]
 [ 0.13943839 17.        ]
 [ 0.14906107 18.        ]
 [ 0.15286028 20.        ]
 [ 0.19926178 23.        ]
 [ 0.2161209  24.        ]]",[11. 12. 17. 18. 20.],0,0,0.0
3,3,0.0,"[[ 0.11508322  7.        ]
 [ 0.12651539  9.        ]
 [ 0.13776012 10.        ]
 [ 0.1418364  11.        ]
 [ 0.14684027 16.        ]
 [ 0.14818621 17.        ]
 [ 0.17032    18.        ]
 [ 0.17172665 19.        ]
 [ 0.20087762 20.        ]
 [ 0.20507219 23.        ]
 [ 0.21248923 24.        ]
 [ 0.21446669 33.        ]]",[ 7.  9. 10. 11. 16.],0,0,0.0
4,4,10.0,"[[ 0.10931814  1.        ]
 [ 0.13158798  9.        ]
 [ 0.1443502  12.        ]
 [ 0.14748685 17.        ]
 [ 0.15245414 18.        ]
 [ 0.15446413 19.        ]
 [ 0.17384461 20.        ]
 [ 0.22205188 23.        ]
 [ 0.27829452 33.        ]]",[ 1.  9. 12. 17. 18.],0,0,0.0
5,5,0.0,"[[ 0.12676704  5.        ]
 [ 0.12744856  9.        ]
 [ 0.1284683  12.        ]
 [ 0.13052201 14.        ]
 [ 0.13105422 16.        ]
 [ 0.13431561 17.        ]
 [ 0.15166644 18.        ]
 [ 0.16455255 19.        ]
 [ 0.18403196 23.        ]
 [ 0.19812334 24.        ]
 [ 0.19850818 33.        ]
 [ 0.20223507 34.        ]]",[ 5.  9. 12. 14. 16.],0,1,0.0
6,8,0.0,"[[ 0.12305991  1.        ]
 [ 0.12747979  3.        ]
 [ 0.137061    5.        ]
 [ 0.1405665   7.        ]
 [ 0.14202464  8.        ]
 [ 0.14418674  9.        ]
 [ 0.1449365  10.        ]
 [ 0.14613307 11.        ]
 [ 0.147967   12.        ]
 [ 0.14927449 13.        ]
 [ 0.14994925 14.        ]
 [ 0.15157804 15.        ]
 [ 0.15237772 16.        ]
 [ 0.15267907 17.        ]
 [ 0.15632634 18.        ]
 [ 0.15844817 19.        ]
 [ 0.16825151 20.        ]
 [ 0.17371852 21.        ]
 [ 0.17758907 23.        ]
 [ 0.17891273 24.        ]
 [ 0.18010384 33.        ]
 [ 0.18427386 34.        ]]",[1. 3. 5. 7. 8.],0,1,0.0
7,9,10.0,"[[ 0.10876554 10.        ]
 [ 0.13838172 12.        ]
 [ 0.13973022 17.        ]
 [ 0.14349242 18.        ]
 [ 0.16277054 20.        ]
 [ 0.17031741 23.        ]
 [ 0.21347648 24.        ]]",[10. 12. 17. 18. 20.],1,1,1.0
8,11,10.0,"[[ 0.10488617  7.        ]
 [ 0.11767954  8.        ]
 [ 0.12254518  9.        ]
 [ 0.12916565 10.        ]
 [ 0.13518786 12.        ]
 [ 0.14434457 16.        ]
 [ 0.15186103 17.        ]
 [ 0.15519619 18.        ]
 [ 0.15598722 19.        ]
 [ 0.15780525 21.        ]
 [ 0.17981106 23.        ]
 [ 0.18910394 24.        ]
 [ 0.20364409 33.        ]
 [ 0.25711179 34.        ]]",[ 7.  8.  9. 10. 12.],1,1,0.25
9,12,0.0,"[[ 0.12863984  7.        ]
 [ 0.13821464  9.        ]
 [ 0.14336318 10.        ]
 [ 0.14964746 13.        ]
 [ 0.16131811 15.        ]
 [ 0.19197425 16.        ]
 [ 0.19651387 17.        ]
 [ 0.19902709 18.        ]
 [ 0.21215484 19.        ]
 [ 0.21978198 20.        ]
 [ 0.22722588 21.        ]
 [ 0.22978806 23.        ]
 [ 0.23123068 24.        ]
 [ 0.232189   33.        ]]",[ 7.  9. 10. 13. 15.],0,0,0.0
10,13,0.0,"[[ 0.11452711  7.        ]
 [ 0.12315717  9.        ]
 [ 0.13710627 10.        ]
 [ 0.13878393 11.        ]
 [ 0.14299674 13.        ]
 [ 0.14655655 16.        ]
 [ 0.14706003 17.        ]
 [ 0.14927018 18.        ]
 [ 0.15184196 19.        ]
 [ 0.15315342 20.        ]
 [ 0.15929856 21.        ]
 [ 0.18023497 23.        ]
 [ 0.18049346 24.        ]
 [ 0.19171809 33.        ]
 [ 0.21363377 34.        ]]",[ 7.  9. 10. 11. 13.],0,0,0.0
11,15,0.0,"[[ 0.12985799  1.        ]
 [ 0.14289522  5.        ]
 [ 0.14777954  7.        ]
 [ 0.14995672  9.        ]
 [ 0.15003779 10.        ]
 [ 0.15056896 11.        ]
 [ 0.16034818 14.        ]
 [ 0.16510201 15.        ]
 [ 0.16887814 16.        ]
 [ 0.17861259 17.        ]
 [ 0.19527041 18.        ]
 [ 0.20260698 20.        ]
 [ 0.20334134 21.        ]
 [ 0.2163977  23.        ]
 [ 0.21961108 24.        ]
 [ 0.27796782 33.        ]]",[ 1.  5.  7.  9. 10.],0,0,0.0
12,16,10.0,"[[ 0.12077126  9.        ]
 [ 0.1290307  10.        ]
 [ 0.13124835 11.        ]
 [ 0.13690484 23.        ]
 [ 0.14796591 24.        ]
 [ 0.16479993 28.        ]
 [ 0.17677969 33.        ]
 [ 0.19624661 34.        ]]",[ 9. 10. 11. 23. 24.],1,1,0.5
13,17,0.0,"[[ 0.15085425  9.        ]
 [ 0.20998487 11.        ]
 [ 0.24768718 12.        ]
 [ 0.249879   18.        ]
 [ 0.25559857 19.        ]
 [ 0.26837599 23.        ]
 [ 0.26877597 24.        ]
 [ 0.30322242 33.        ]]",[ 9. 11. 12. 18. 19.],0,0,0.0
14,18,0.0,"[[ 0.10609726  7.        ]
 [ 0.10863614  9.        ]
 [ 0.12878361 10.        ]
 [ 0.13506262 11.        ]
 [ 0.13913259 12.        ]
 [ 0.14974274 14.        ]
 [ 0.15361559 15.        ]
 [ 0.15362298 16.        ]
 [ 0.15595384 18.        ]
 [ 0.15619727 19.        ]
 [ 0.15629029 20.        ]
 [ 0.15739352 23.        ]
 [ 0.19092882 24.        ]
 [ 0.19570549 33.        ]
 [ 0.20071745 34.        ]]",[ 7.  9. 10. 11. 12.],0,0,0.0
15,19,10.0,"[[ 0.12427413  7.        ]
 [ 0.12836123  9.        ]
 [ 0.13233042 11.        ]
 [ 0.14641418 12.        ]
 [ 0.16656016 17.        ]
 [ 0.17171872 18.        ]
 [ 0.20004445 23.        ]
 [ 0.30212438 24.        ]]",[ 7.  9. 11. 12. 17.],0,0,0.0
