,record,original,predict,top5,inTop5,correct,mmr
0,0,10.0,"[[ 5.21877813  7.        ]
 [ 6.74633741  9.        ]
 [ 7.14507866 15.        ]
 [ 7.40196133 17.        ]
 [ 8.09836006 19.        ]
 [ 9.0324688  20.        ]
 [11.35036469 23.        ]
 [13.03999329 24.        ]
 [19.25494003 34.        ]]",[ 7.  9. 15. 17. 19.],0,0,0.0
1,1,10.0,"[[ 6.11773813 16.        ]
 [ 6.84978199 17.        ]
 [ 6.91835165 19.        ]
 [ 7.35641265 20.        ]
 [ 8.08724451 21.        ]
 [ 8.46335506 23.        ]
 [11.0495224  24.        ]]",[16. 17. 19. 20. 21.],0,0,0.0
2,3,0.0,"[[ 5.60898685  8.        ]
 [ 6.89469337  9.        ]
 [ 6.99511623 10.        ]
 [ 7.48176527 19.        ]
 [ 8.06351089 20.        ]
 [ 9.96631622 23.        ]
 [12.3193864  24.        ]]",[ 8.  9. 10. 19. 20.],0,0,0.0
3,4,0.0,"[[ 4.64543056 10.        ]
 [ 7.1580224  13.        ]
 [ 7.2392369  16.        ]
 [ 7.39390934 17.        ]
 [ 7.72087145 18.        ]
 [ 7.85619222 19.        ]
 [ 7.89507389 20.        ]
 [ 8.09579563 21.        ]
 [ 8.10193443 23.        ]
 [ 8.1404469  24.        ]]",[10. 13. 16. 17. 18.],0,0,0.0
4,5,10.0,"[[ 5.81307592  5.        ]
 [ 6.00656796  7.        ]
 [ 6.59564781  9.        ]
 [ 6.92265224 20.        ]
 [ 7.49581242 21.        ]
 [ 7.6237793  23.        ]
 [ 7.83801794 24.        ]
 [ 8.55176449 28.        ]]",[ 5.  7.  9. 20. 21.],0,0,0.0
5,6,10.0,"[[ 6.76570857  9.        ]
 [ 8.7994566  10.        ]
 [10.8932209  12.        ]
 [10.97234201 20.        ]
 [11.43411255 21.        ]
 [15.19072247 23.        ]
 [19.91032028 24.        ]]",[ 9. 10. 12. 20. 21.],1,1,0.5
6,7,10.0,"[[ 5.64173746  9.        ]
 [ 6.99812698 10.        ]
 [ 7.62190676 16.        ]
 [ 8.74077415 19.        ]
 [ 9.4299202  20.        ]
 [11.36596799 23.        ]]",[ 9. 10. 16. 19. 20.],1,1,0.5
7,8,10.0,"[[ 5.1491785   9.        ]
 [ 6.38177872 16.        ]
 [ 7.07298708 20.        ]
 [ 8.58700657 23.        ]]",[ 9. 16. 20. 23.],0,0,0.0
8,9,10.0,"[[ 6.82967079  9.        ]
 [ 6.8717339  16.        ]
 [ 7.55719614 18.        ]
 [ 7.76031065 19.        ]
 [ 8.12109756 23.        ]
 [11.97429352 24.        ]]",[ 9. 16. 18. 19. 23.],0,0,0.0
9,10,10.0,"[[ 7.31159782  9.        ]
 [ 8.13062477 19.        ]
 [14.42625395 23.        ]]",[ 9. 19. 23.],0,0,0.0
10,11,0.0,"[[ 3.29819605  7.        ]
 [ 5.55809689  9.        ]
 [ 6.01028109 10.        ]
 [ 6.04141092 16.        ]
 [ 7.32904911 19.        ]
 [ 7.62124169 20.        ]
 [ 7.65457153 23.        ]
 [ 7.78540421 24.        ]]",[ 7.  9. 10. 16. 19.],0,0,0.0
11,12,0.0,"[[ 4.98616838  5.        ]
 [ 5.74956313  7.        ]
 [ 5.93093872  8.        ]
 [ 6.48593117 16.        ]
 [ 6.52567291 17.        ]
 [ 6.69970666 18.        ]
 [ 6.76238807 19.        ]
 [ 6.84663653 20.        ]
 [ 7.6767722  21.        ]
 [ 7.81917513 23.        ]
 [ 7.95365412 24.        ]
 [ 8.43510618 34.        ]]",[ 5.  7.  8. 16. 17.],0,1,0.0
12,13,10.0,"[[ 6.003009    5.        ]
 [ 6.16011024  9.        ]
 [ 7.66554546 11.        ]
 [ 7.82974386 17.        ]
 [10.57088566 23.        ]
 [12.09880161 24.        ]]",[ 5.  9. 11. 17. 23.],0,0,0.0
13,14,0.0,"[[ 5.36722326  5.        ]
 [ 6.19771671  7.        ]
 [ 6.61125231 15.        ]
 [ 6.79913616 16.        ]
 [ 6.96211283 17.        ]
 [ 8.29739296 23.        ]
 [ 8.54689026 24.        ]]",[ 5.  7. 15. 16. 17.],0,1,0.0
14,15,10.0,"[[ 6.13455757  5.        ]
 [ 6.9137578   9.        ]
 [ 7.14112377 10.        ]
 [ 8.08038473 16.        ]
 [ 8.39715004 18.        ]
 [10.0235815  19.        ]
 [12.8371191  23.        ]
 [13.05043507 24.        ]]",[ 5.  9. 10. 16. 18.],1,1,0.3333333333333333
15,16,0.0,"[[ 6.77429714  9.        ]
 [ 7.15345065 10.        ]
 [ 7.15723491 11.        ]
 [ 7.23880561 16.        ]
 [ 7.27054862 18.        ]
 [ 7.54320566 19.        ]
 [ 7.55073404 21.        ]
 [ 8.03209261 23.        ]
 [ 8.17477545 24.        ]]",[ 9. 10. 11. 16. 18.],0,0,0.0
16,17,0.0,"[[ 4.93259169 10.        ]
 [ 5.58725357 16.        ]
 [ 5.69047732 19.        ]
 [ 7.61702752 21.        ]
 [ 7.99320221 23.        ]]",[10. 16. 19. 21. 23.],0,0,0.0
17,18,10.0,"[[ 8.36703364 10.        ]
 [ 9.05369282 11.        ]
 [10.20679188 16.        ]
 [11.47447014 18.        ]
 [11.57502174 19.        ]
 [12.93299103 20.        ]
 [13.57619286 23.        ]
 [13.96611786 24.        ]
 [14.30161095 34.        ]]",[10. 11. 16. 18. 19.],1,1,1.0
