,train_loss,val_loss,train_acc,val_acc
0,2.086663354733947,2.0290247946977615,0.2166,0.249
1,1.9044447256501313,1.8748562395572663,0.2914,0.3047
2,1.8010496257976363,1.8433129727840423,0.331825,0.329
3,1.7131337952461971,1.6972321271896362,0.37395,0.3878
4,1.6543719548328666,1.6760006576776505,0.39525,0.3871
5,1.6090617832864167,1.636353313922882,0.4143,0.4094
6,1.5657123494300114,1.5806284695863724,0.430975,0.4248
7,1.5284755305879434,1.5572976857423781,0.4458,0.4346
8,1.4885024720696127,1.5321345210075379,0.45765,0.4449
9,1.4627951079872763,1.4916241675615312,0.469925,0.4608
10,1.4475906100242761,1.445366707444191,0.4727,0.4761
11,1.4183558271189405,1.5014725476503372,0.48315,0.4552
12,1.3898149060595566,1.4970377415418625,0.49565,0.4635
13,1.3777457490848128,1.4120262503623962,0.503425,0.4935
14,1.3523745802557392,1.3819816172122956,0.510925,0.5033
15,1.3426090888916307,1.3744187563657762,0.514775,0.5024
16,1.3193936332775529,1.3412385523319243,0.52405,0.5161
17,1.3117481842162504,1.323377075791359,0.527225,0.5259
18,1.3009306564452543,1.3780776530504226,0.529825,0.5118
19,1.2848772995031563,1.3583181947469711,0.537275,0.5112
20,1.2731702957942987,1.3448094695806503,0.53915,0.5132
21,1.2669003131283316,1.3158751428127289,0.544125,0.5257
22,1.2467542431157106,1.313464742898941,0.551825,0.5303
23,1.23064548498506,1.2842168271541596,0.55505,0.5446
24,1.2329778314396074,1.250544136762619,0.556375,0.5481
25,1.2187365764265607,1.2620425462722777,0.5594,0.5504
26,1.2189165854909618,1.3576772093772889,0.558925,0.5076
27,1.2030191565774808,1.2647715926170349,0.56695,0.5479
28,1.1974949738022629,1.259705623984337,0.569225,0.5539
29,1.0836698086398422,1.1537049114704132,0.614075,0.5869
30,1.056448855597502,1.1666864693164825,0.623375,0.5946
31,1.03267021505696,1.1368110537528993,0.62845,0.5936
32,1.027677114602107,1.1522259950637816,0.632875,0.5957
33,1.021177297944476,1.1310181722044945,0.633775,0.6015
34,1.0147913485575633,1.1507121652364731,0.634375,0.5951
35,1.005823404925644,1.1371872901916504,0.6393,0.5973
36,1.000417250736504,1.1405006289482116,0.64305,0.6045
37,1.006172542359419,1.1223242193460465,0.63875,0.6031
38,1.0025540017018653,1.1330550953745842,0.6433,0.6011
39,0.9915021475712964,1.1437114000320434,0.6433,0.6005
40,0.995716376669088,1.1359082758426666,0.64475,0.5988
41,0.9870929942009555,1.142841137945652,0.646375,0.5991
42,0.9687876006600203,1.119592548906803,0.655225,0.6099
43,0.9629675882637121,1.1209801375865935,0.655075,0.6062
44,0.969644860856852,1.1170821458101272,0.654575,0.6067
45,0.9666629065373901,1.1338357865810393,0.6559,0.6079
46,0.964380165953545,1.1245774388313294,0.6564,0.6101
47,0.9644045271691243,1.1324591100215913,0.65595,0.6116
48,0.9604501610348939,1.1150005847215652,0.656725,0.6173
49,0.9615011416423093,1.1077767103910445,0.6571,0.616
50,0.9589054189669858,1.1234613940119744,0.658025,0.6063
51,0.9539401307227505,1.1173544988036155,0.660275,0.606
52,0.9573202953217136,1.1048703998327256,0.656475,0.6116
53,0.9600546804203349,1.1216442957520485,0.659475,0.6154
54,0.957049340199513,1.1186759158968926,0.657375,0.6175
55,0.9550204569367087,1.1136747509241105,0.659525,0.6123
56,0.9602182871976476,1.1114433586597443,0.65615,0.6103
