,record,original,predict,top5,inTop5,correct,mmr
0,0,10.0,"[[ 8.24888992  7.        ]
 [ 8.25377623  9.        ]
 [ 8.33049965 10.        ]
 [ 9.84536171 11.        ]
 [10.54040527 17.        ]
 [11.7342391  19.        ]
 [12.53597641 23.        ]
 [13.82873154 24.        ]]",[ 7.  9. 10. 11. 17.],1,1,0.3333333333333333
1,1,10.0,"[[ 3.51652241  7.        ]
 [ 7.05196309  9.        ]
 [ 8.03322124 10.        ]
 [ 8.76469898 12.        ]
 [10.10333443 13.        ]
 [10.66929817 16.        ]
 [10.93433094 17.        ]
 [11.55672646 21.        ]
 [13.5340004  23.        ]
 [14.08170509 33.        ]
 [14.76698208 34.        ]]",[ 7.  9. 10. 12. 13.],1,1,0.3333333333333333
2,3,0.0,"[[ 8.19675064  9.        ]
 [ 8.3816309  18.        ]
 [ 9.18192007 19.        ]
 [11.76530542 23.        ]
 [11.98235989 24.        ]
 [13.95874329 33.        ]]",[ 9. 18. 19. 23. 24.],0,1,0.0
3,4,0.0,"[[ 8.46995481  0.        ]
 [10.61148739  1.        ]
 [11.32699966  3.        ]
 [11.82238636  5.        ]
 [11.97165044  9.        ]
 [11.98990968 10.        ]
 [12.22750521 11.        ]
 [13.0482804  15.        ]
 [13.5091629  16.        ]
 [13.59308319 17.        ]
 [14.56200576 18.        ]
 [16.28833199 20.        ]]",[0. 1. 3. 5. 9.],1,1,1.0
4,5,10.0,"[[ 6.38571858  9.        ]
 [ 8.05599165 10.        ]
 [10.01469946 11.        ]
 [11.09180641 16.        ]
 [12.20712757 17.        ]
 [13.23042202 18.        ]
 [15.12972069 23.        ]]",[ 9. 10. 11. 16. 17.],1,1,0.5
5,6,10.0,"[[10.2914772   8.        ]
 [11.27387619 10.        ]
 [11.63409805 11.        ]
 [13.12059593 17.        ]
 [14.30168343 19.        ]
 [14.76574516 21.        ]
 [16.73646259 23.        ]
 [17.94731331 24.        ]
 [19.19760895 34.        ]]",[ 8. 10. 11. 17. 19.],1,1,0.5
6,7,10.0,"[[ 8.27981186 11.        ]
 [ 9.32069778 13.        ]
 [12.52325058 24.        ]
 [15.72229195 33.        ]]",[11. 13. 24. 33.],0,0,0.0
7,8,10.0,"[[ 5.81814647 11.        ]
 [ 9.42284107 16.        ]
 [10.52137852 23.        ]]",[11. 16. 23.],0,0,0.0
8,9,10.0,"[[ 8.14001846  8.        ]
 [ 8.41603041  9.        ]
 [10.36630774 10.        ]
 [11.18339396 17.        ]
 [11.53205681 18.        ]
 [12.48398685 19.        ]
 [12.90317917 23.        ]
 [14.07237625 33.        ]
 [16.06459427 34.        ]]",[ 8.  9. 10. 17. 18.],1,1,0.3333333333333333
9,10,10.0,"[[ 7.25208855  7.        ]
 [ 8.37600327 10.        ]
 [ 9.0114603  23.        ]
 [16.05309486 24.        ]]",[ 7. 10. 23. 24.],1,1,0.5
10,11,0.0,"[[ 5.73924522  7.        ]
 [ 6.36532211  9.        ]
 [ 7.64342928 10.        ]
 [ 7.93083191 17.        ]
 [11.1864109  19.        ]
 [11.49456978 21.        ]
 [12.11612225 23.        ]
 [13.2985673  24.        ]
 [13.94706726 33.        ]]",[ 7.  9. 10. 17. 19.],0,0,0.0
11,12,0.0,"[[ 6.55670643  8.        ]
 [ 6.74231052  9.        ]
 [ 6.87689447 10.        ]
 [ 7.00341356 11.        ]
 [ 7.82853086 12.        ]
 [ 8.08399812 13.        ]
 [ 8.70270374 16.        ]
 [ 9.21684329 17.        ]
 [10.02245004 19.        ]
 [10.60946231 21.        ]
 [11.03963045 23.        ]
 [12.19902515 24.        ]
 [12.482886   33.        ]
 [15.76075268 34.        ]]",[ 8.  9. 10. 11. 12.],0,0,0.0
12,13,10.0,"[[ 7.73729706  9.        ]
 [ 9.1025219  12.        ]
 [10.09527969 15.        ]
 [10.17060947 18.        ]
 [12.26791    19.        ]
 [12.707407   20.        ]
 [12.98284483 23.        ]
 [14.76049519 24.        ]]",[ 9. 12. 15. 18. 19.],0,0,0.0
13,14,0.0,"[[ 6.75295639  1.        ]
 [ 8.34619836 10.        ]
 [ 9.30241585 13.        ]
 [ 9.32074928 14.        ]
 [ 9.61966705 16.        ]
 [10.73555279 18.        ]
 [11.29377556 19.        ]
 [12.2028079  20.        ]
 [13.15248299 23.        ]
 [13.8337698  27.        ]
 [17.62781811 33.        ]]",[ 1. 10. 13. 14. 16.],0,0,0.0
14,15,10.0,"[[10.23603471  9.        ]
 [11.35028934 10.        ]
 [12.2683568  16.        ]
 [12.49766922 18.        ]
 [12.72471523 23.        ]
 [14.59769249 24.        ]]",[ 9. 10. 16. 18. 23.],1,1,0.5
15,16,0.0,"[[ 8.05211258  7.        ]
 [ 9.33634107  8.        ]
 [10.39921832  9.        ]
 [10.70751381 10.        ]
 [10.7821668  11.        ]
 [11.01901245 16.        ]
 [11.32003689 17.        ]
 [11.51165121 18.        ]
 [11.55968475 19.        ]
 [11.67972622 20.        ]
 [12.99648176 23.        ]
 [17.70153046 24.        ]]",[ 7.  8.  9. 10. 11.],0,0,0.0
16,17,0.0,"[[ 6.67237377  0.        ]
 [ 7.52506256 10.        ]
 [ 8.22307968 13.        ]
 [ 9.37471466 16.        ]
 [ 9.75596062 17.        ]
 [14.74480553 22.        ]
 [15.21552181 23.        ]]",[ 0. 10. 13. 16. 17.],1,1,1.0
17,18,10.0,"[[10.6964922   9.        ]
 [11.63044167 19.        ]
 [13.27422905 20.        ]
 [17.80294132 24.        ]]",[ 9. 19. 20. 24.],0,0,0.0
18,19,0.0,"[[ 8.83504745  3.        ]
 [ 8.96787071  7.        ]
 [ 9.55267364  9.        ]
 [10.29734001 10.        ]
 [10.83147679 11.        ]
 [10.91075672 14.        ]
 [10.97013179 16.        ]
 [11.21661777 17.        ]
 [11.39682981 18.        ]
 [11.43755213 19.        ]
 [11.48671591 20.        ]
 [11.51271771 21.        ]
 [12.64998186 23.        ]
 [12.65593562 24.        ]
 [13.58030287 33.        ]
 [14.28356806 34.        ]]",[ 3.  7.  9. 10. 11.],0,0,0.0
19,20,0.0,"[[ 7.88434505  5.        ]
 [ 8.72839594  7.        ]
 [ 9.56728745  8.        ]
 [ 9.94788074  9.        ]
 [10.52929497 10.        ]
 [11.57491473 16.        ]
 [12.1296566  17.        ]
 [12.71840191 18.        ]
 [13.83037958 19.        ]
 [14.55253791 20.        ]
 [14.60276244 23.        ]
 [16.89993286 24.        ]
 [17.06423024 33.        ]
 [19.99219131 34.        ]]",[ 5.  7.  8.  9. 10.],0,0,0.0
20,21,0.0,"[[ 6.03251934  1.        ]
 [ 6.57799327  7.        ]
 [ 7.32128837  8.        ]
 [ 8.43994454  9.        ]
 [ 8.59058378 10.        ]
 [ 9.2234621  16.        ]
 [ 9.28941345 17.        ]
 [ 9.55650711 18.        ]
 [ 9.93572693 20.        ]
 [10.10186211 21.        ]
 [10.19256051 23.        ]
 [11.15899372 24.        ]
 [11.2014974  33.        ]
 [11.37044675 34.        ]]",[ 1.  7.  8.  9. 10.],0,0,0.0
21,22,10.0,"[[ 5.7578187   3.        ]
 [ 8.04588731  7.        ]
 [10.11118674  8.        ]
 [10.14266571  9.        ]
 [10.24044681 10.        ]
 [10.40887181 11.        ]
 [11.06960657 14.        ]
 [11.22324371 16.        ]
 [11.23907399 17.        ]
 [11.36212648 18.        ]
 [12.38960282 19.        ]
 [12.49647697 20.        ]
 [12.92736244 21.        ]
 [14.06272125 23.        ]
 [15.35693607 24.        ]
 [16.27964401 33.        ]
 [16.96815491 34.        ]]",[ 3.  7.  8.  9. 10.],1,1,0.2
22,23,0.0,"[[ 9.0324173   7.        ]
 [ 9.40509796  8.        ]
 [ 9.7531015   9.        ]
 [10.08025755 10.        ]
 [10.26104732 12.        ]
 [11.23922729 16.        ]
 [11.37883927 17.        ]
 [11.45390736 18.        ]
 [11.65275955 19.        ]
 [12.66879061 20.        ]
 [12.81423625 21.        ]
 [15.1757431  23.        ]
 [19.41039658 34.        ]]",[ 7.  8.  9. 10. 12.],0,0,0.0
23,24,10.0,"[[ 4.2383666   8.        ]
 [ 4.74497557 11.        ]
 [ 9.78202963 21.        ]
 [10.53560066 23.        ]
 [11.87363911 24.        ]]",[ 8. 11. 21. 23. 24.],0,0,0.0
